Parcel Number,Survey Date,Condition
126-36-046,3/4/2014,0
139-13-045,3/4/2014,0
129-03-042,3/4/2014,0
129-06-005,3/4/2014,0
129-17-027,3/4/2014,0
129-18-047,3/4/2014,0
129-24-066,3/4/2014,0
129-29-159,3/4/2014,0
144-02-036,3/4/2014,0
144-02-041,3/4/2014,0
144-06-107,3/4/2014,0
126-18-060,3/4/2014,0
126-20-027,3/4/2014,0
126-25-056,3/4/2014,0
126-35-034,3/4/2014,0
126-35-049,3/4/2014,0
126-36-043,3/4/2014,0
126-36-053,3/4/2014,0
126-36-062,3/4/2014,0
126-36-074,3/4/2014,0
129-28-085,3/4/2014,0
129-29-071,3/4/2014,0
129-29-126,3/4/2014,0
130-01-189,3/4/2014,0
130-13-118,3/4/2014,0
130-14-117,3/4/2014,0
130-18-136,3/4/2014,0
130-21-025,3/4/2014,0
130-24-012,3/4/2014,0
139-01-063,3/4/2014,0
139-13-041,3/4/2014,0
127-18-002,3/4/2014,0
128-04-043,3/4/2014,0
126-14-083,3/5/2014,0
126-15-006,3/5/2014,0
126-15-008,3/5/2014,0
126-15-009,3/5/2014,0
126-18-008,3/5/2014,0
126-25-012,3/5/2014,0
126-13-022,3/5/2014,0
126-14-015,3/5/2014,0
126-14-022,3/5/2014,0
126-14-115,3/5/2014,0
126-15-019,3/5/2014,0
126-15-028,3/5/2014,0
126-15-050,3/5/2014,0
126-15-066,3/5/2014,0
126-15-068,3/5/2014,0
126-15-069,3/5/2014,0
126-15-070,3/5/2014,0
126-15-071,3/5/2014,0
126-15-072,3/5/2014,0
126-15-089,3/5/2014,0
126-16-011,3/5/2014,0
126-16-014,3/5/2014,0
126-16-015,3/5/2014,0
126-16-020,3/5/2014,0
126-16-021,3/5/2014,0
126-16-025,3/5/2014,0
126-16-026,3/5/2014,0
126-16-028,3/5/2014,0
126-16-029,3/5/2014,0
126-16-030,3/5/2014,0
126-16-032,3/5/2014,0
126-16-033,3/5/2014,0
126-16-034,3/5/2014,0
126-16-035,3/5/2014,0
126-16-037,3/5/2014,0
126-16-039,3/5/2014,0
126-16-048,3/5/2014,0
126-16-051,3/5/2014,0
126-16-053,3/5/2014,0
126-16-055,3/5/2014,0
126-16-056,3/5/2014,0
126-16-058,3/5/2014,0
126-16-059,3/5/2014,0
126-16-060,3/5/2014,0
126-16-061,3/5/2014,0
126-16-063,3/5/2014,0
126-16-067,3/5/2014,0
126-16-073,3/5/2014,0
126-16-074,3/5/2014,0
126-16-075,3/5/2014,0
126-16-076,3/5/2014,0
126-16-078,3/5/2014,0
126-16-079,3/5/2014,0
126-16-080,3/5/2014,0
126-16-081,3/5/2014,0
126-16-082,3/5/2014,0
126-16-083,3/5/2014,0
126-16-085,3/5/2014,0
126-16-086,3/5/2014,0
126-17-010,3/5/2014,0
126-17-012,3/5/2014,0
126-17-017,3/5/2014,0
126-17-018,3/5/2014,0
126-17-019,3/5/2014,0
126-17-025,3/5/2014,0
126-17-026,3/5/2014,0
126-17-027,3/5/2014,0
126-17-028,3/5/2014,0
126-17-031,3/5/2014,0
126-17-032,3/5/2014,0
126-17-033,3/5/2014,0
126-17-034,3/5/2014,0
126-17-035,3/5/2014,0
126-17-036,3/5/2014,0
126-17-037,3/5/2014,0
126-17-039,3/5/2014,0
126-17-041,3/5/2014,0
126-17-045,3/5/2014,0
126-17-047,3/5/2014,0
126-17-048,3/5/2014,0
126-17-049,3/5/2014,0
126-17-050,3/5/2014,0
126-17-051,3/5/2014,0
126-17-052,3/5/2014,0
126-17-053,3/5/2014,0
126-17-055,3/5/2014,0
126-17-062,3/5/2014,0
126-17-063,3/5/2014,0
126-17-064,3/5/2014,0
126-17-065,3/5/2014,0
126-17-066,3/5/2014,0
126-17-069,3/5/2014,0
126-17-070,3/5/2014,0
126-17-072,3/5/2014,0
126-17-073,3/5/2014,0
126-18-002,3/5/2014,0
126-18-004,3/5/2014,0
126-18-006,3/5/2014,0
126-18-022,3/5/2014,0
126-18-036,3/5/2014,0
126-18-037,3/5/2014,0
126-18-039,3/5/2014,0
126-18-042,3/5/2014,0
126-18-043,3/5/2014,0
126-18-044,3/5/2014,0
126-18-045,3/5/2014,0
126-18-048,3/5/2014,0
126-18-051,3/5/2014,0
126-18-054,3/5/2014,0
126-18-055,3/5/2014,0
126-18-057,3/5/2014,0
126-18-059,3/5/2014,0
126-18-063,3/5/2014,0
126-18-064,3/5/2014,0
126-18-067,3/5/2014,0
126-20-012,3/5/2014,0
126-20-013,3/5/2014,0
126-20-032,3/5/2014,0
126-20-033,3/5/2014,0
126-20-036,3/5/2014,0
126-20-043,3/5/2014,0
126-22-006,3/5/2014,0
126-22-015,3/5/2014,0
126-22-035,3/5/2014,0
126-22-037,3/5/2014,0
126-22-040,3/5/2014,0
126-22-045,3/5/2014,0
126-22-048,3/5/2014,0
126-22-053,3/5/2014,0
126-22-054,3/5/2014,0
126-23-001,3/5/2014,0
126-23-031,3/5/2014,0
126-23-034,3/5/2014,0
126-23-037,3/5/2014,0
126-25-004,3/5/2014,0
126-25-006,3/5/2014,0
126-25-007,3/5/2014,0
126-25-015,3/5/2014,0
126-25-017,3/5/2014,0
126-25-026,3/5/2014,0
126-25-027,3/5/2014,0
126-25-032,3/5/2014,0
126-25-037,3/5/2014,0
126-25-047,3/5/2014,0
126-25-049,3/5/2014,0
126-35-038,3/5/2014,0
126-35-041,3/5/2014,0
126-35-042,3/5/2014,0
126-36-002,3/5/2014,0
126-36-012,3/5/2014,0
126-36-018,3/5/2014,0
126-36-027,3/5/2014,0
126-36-030,3/5/2014,0
126-36-031,3/5/2014,0
126-36-034,3/5/2014,0
126-36-035,3/5/2014,0
126-36-038,3/5/2014,0
126-36-044,3/5/2014,0
126-36-059,3/5/2014,0
126-36-096,3/5/2014,0
126-36-101,3/5/2014,0
126-36-106,3/5/2014,0
126-36-109,3/5/2014,0
126-36-110,3/5/2014,0
126-36-112,3/5/2014,0
126-36-117,3/5/2014,0
126-36-118,3/5/2014,0
126-36-125,3/5/2014,0
126-36-137,3/5/2014,0
126-37-029,3/5/2014,0
126-37-045,3/5/2014,0
126-37-048,3/5/2014,0
126-37-050,3/5/2014,0
126-37-055,3/5/2014,0
126-37-061,3/5/2014,0
126-37-062,3/5/2014,0
126-37-065,3/5/2014,0
126-37-070,3/5/2014,0
126-37-073,3/5/2014,0
126-37-075,3/5/2014,0
126-37-079,3/5/2014,0
126-37-082,3/5/2014,0
126-37-083,3/5/2014,0
126-37-087,3/5/2014,0
126-37-091,3/5/2014,0
126-37-093,3/5/2014,0
128-12-001,3/5/2014,0
128-12-004,3/5/2014,0
128-12-008,3/5/2014,0
126-14-008,3/5/2014,0
126-25-051,3/5/2014,0
126-14-007,3/5/2014,0
126-14-009,3/5/2014,0
126-14-063,3/5/2014,0
126-14-066,3/5/2014,0
126-14-067,3/5/2014,0
126-14-068,3/5/2014,0
126-14-069,3/5/2014,0
126-14-119,3/5/2014,0
126-13-009,3/5/2014,0
126-16-004,3/5/2014,0
126-14-004,3/5/2014,0
126-14-012,3/5/2014,0
126-14-013,3/5/2014,0
126-14-014,3/5/2014,0
126-14-021,3/5/2014,0
126-14-023,3/5/2014,0
126-14-043,3/5/2014,0
126-14-064,3/5/2014,0
126-14-065,3/5/2014,0
126-14-082,3/5/2014,0
126-14-099,3/5/2014,0
126-15-016,3/5/2014,0
126-15-081,3/5/2014,0
126-15-106,3/5/2014,0
126-16-013,3/5/2014,0
126-17-009,3/5/2014,0
126-18-010,3/5/2014,0
126-18-052,3/5/2014,0
126-22-017,3/5/2014,0
126-22-018,3/5/2014,0
126-22-019,3/5/2014,0
126-22-041,3/5/2014,0
126-22-042,3/5/2014,0
126-22-043,3/5/2014,0
126-22-044,3/5/2014,0
126-22-058,3/5/2014,0
126-22-059,3/5/2014,0
126-22-060,3/5/2014,0
126-23-032,3/5/2014,0
126-23-033,3/5/2014,0
126-23-036,3/5/2014,0
126-36-111,3/5/2014,0
126-37-010,3/5/2014,0
126-37-011,3/5/2014,0
126-37-012,3/5/2014,0
126-37-028,3/5/2014,0
126-14-002,3/5/2014,0
126-14-054,3/5/2014,0
126-25-009,3/5/2014,0
126-25-010,3/5/2014,0
126-25-011,3/5/2014,0
126-38-016,3/5/2014,0
126-13-012,3/5/2014,0
126-13-013,3/5/2014,0
126-13-014,3/5/2014,0
126-13-017,3/5/2014,0
126-13-018,3/5/2014,0
126-13-023,3/5/2014,0
126-13-024,3/5/2014,0
126-13-027,3/5/2014,0
126-13-028,3/5/2014,0
126-13-029,3/5/2014,0
126-13-030,3/5/2014,0
126-13-031,3/5/2014,0
126-13-032,3/5/2014,0
126-13-033,3/5/2014,0
126-14-003,3/5/2014,0
126-14-016,3/5/2014,0
126-14-017,3/5/2014,0
126-14-018,3/5/2014,0
126-14-019,3/5/2014,0
126-14-020,3/5/2014,0
126-14-024,3/5/2014,0
126-14-025,3/5/2014,0
126-14-026,3/5/2014,0
126-14-027,3/5/2014,0
126-14-028,3/5/2014,0
126-14-029,3/5/2014,0
126-14-030,3/5/2014,0
126-14-031,3/5/2014,0
126-14-032,3/5/2014,0
126-14-042,3/5/2014,0
126-14-044,3/5/2014,0
126-14-045,3/5/2014,0
126-14-046,3/5/2014,0
126-14-047,3/5/2014,0
126-14-048,3/5/2014,0
126-14-049,3/5/2014,0
126-14-050,3/5/2014,0
126-14-051,3/5/2014,0
126-14-052,3/5/2014,0
126-14-053,3/5/2014,0
126-14-055,3/5/2014,0
126-14-056,3/5/2014,0
126-14-057,3/5/2014,0
126-14-058,3/5/2014,0
126-14-059,3/5/2014,0
126-14-060,3/5/2014,0
126-14-061,3/5/2014,0
126-14-062,3/5/2014,0
126-14-070,3/5/2014,0
126-14-071,3/5/2014,0
126-14-072,3/5/2014,0
126-14-073,3/5/2014,0
126-14-074,3/5/2014,0
126-14-075,3/5/2014,0
126-14-076,3/5/2014,0
126-14-077,3/5/2014,0
126-14-078,3/5/2014,0
126-14-079,3/5/2014,0
126-14-080,3/5/2014,0
126-14-081,3/5/2014,0
126-14-084,3/5/2014,0
126-14-085,3/5/2014,0
126-14-086,3/5/2014,0
126-14-087,3/5/2014,0
126-14-088,3/5/2014,0
126-14-089,3/5/2014,0
126-14-090,3/5/2014,0
126-14-091,3/5/2014,0
126-14-092,3/5/2014,0
126-14-093,3/5/2014,0
126-14-094,3/5/2014,0
126-14-095,3/5/2014,0
126-14-096,3/5/2014,0
126-14-100,3/5/2014,0
126-14-101,3/5/2014,0
126-14-102,3/5/2014,0
126-14-103,3/5/2014,0
126-14-105,3/5/2014,0
126-14-106,3/5/2014,0
126-14-107,3/5/2014,0
126-14-108,3/5/2014,0
126-14-109,3/5/2014,0
126-14-110,3/5/2014,0
126-14-111,3/5/2014,0
126-14-112,3/5/2014,0
126-14-113,3/5/2014,0
